OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,Profit,Quantity,Account,Sales,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude
4/01/2011,Office Supplies,Houston,United States,Darren Powers,0.2,CA-2011-103800,77095,6,2,Northwind Traders,16,Consumer,8/01/2011,Standard Class,Texas,Paper,4,22,Shipped Early,6,null,16.45,33.8,null,29.8941,-95.6481
5/01/2011,Office Supplies,Naperville,United States,Phillina Ober,0.2,CA-2011-112326,60540,4,3,Northwind Traders,12,Home Office,9/01/2011,Standard Class,Illinois,Labels,4,15,Shipped Early,6,null,11.78,36.3,null,41.7662,-88.141
5/01/2011,Office Supplies,Naperville,United States,Phillina Ober,0.8,CA-2011-112326,60540,-5,2,Northwind Traders,4,Home Office,9/01/2011,Standard Class,Illinois,Binders,4,5,Shipped Early,6,null,3.54,-155,null,41.7662,-88.141
5/01/2011,Office Supplies,Naperville,United States,Phillina Ober,0.2,CA-2011-112326,60540,-65,3,Northwind Traders,273,Home Office,9/01/2011,Standard Class,Illinois,Storage,4,357,Shipped Early,6,null,272.74,-23.8,null,41.7662,-88.141
6/01/2011,Office Supplies,Philadelphia,United States,Mick Brown,0.2,CA-2011-141817,19143,5,3,A Datum Corporation,20,Consumer,13/01/2011,Standard Class,Pennsylvania,Art,7,26,Shipped Late,6,null,19.54,25,null,39.9448,-75.2288
7/01/2011,Office Supplies,Athens,United States,Jack OBriant,0,CA-2011-106054,30605,5,3,Fabrikam Inc,13,Corporate,8/01/2011,First Class,Georgia,Art,1,17,Shipped On Time,1,null,12.78,41,null,33.9321,-83.3525
7/01/2011,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,0,4,Fabrikam Inc,31,Home Office,11/01/2011,Standard Class,Kentucky,Fasteners,4,41,Shipped Early,6,null,31.12,1,null,37.8274,-87.5632
7/01/2011,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,274,2,Fabrikam Inc,610,Home Office,11/01/2011,Standard Class,Kentucky,Binders,4,799,Shipped Early,6,null,609.98,45,null,37.8274,-87.5632
7/01/2011,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,1,2,Fabrikam Inc,5,Home Office,11/01/2011,Standard Class,Kentucky,Art,4,7,Shipped Early,6,null,5.48,27,null,37.8274,-87.5632
7/01/2011,Office Supplies,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,3,1,Fabrikam Inc,7,Home Office,11/01/2011,Standard Class,Kentucky,Paper,4,9,Shipped Early,6,null,6.54,46,null,37.8274,-87.5632
