OrderDate,Category,City,Country,CustomerName,Discount,OrderID,PostalCode,Profit,Quantity,Account,Sales,Segment,ShipDate,ShipMode,State,Sub_Category,DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,OrderProfitable,SalesperCustomer,ProfitRatio,SalesaboveTarget,latitude,longitude
2011-01-07,Furniture,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,746,9,Fabrikam Inc,2574,Home Office,2011-01-11,Standard Class,Kentucky,Chairs,4,3373,Shipped Early,6,null,2573.82,29,null,37.8274,-87.5632
2011-01-07,Technology,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,114,2,Fabrikam Inc,392,Home Office,2011-01-11,Standard Class,Kentucky,Phones,4,514,Shipped Early,6,null,391.98,29,null,37.8274,-87.5632
2011-01-07,Technology,Henderson,United States,Maria Etezadi,0,CA-2011-167199,42420,204,4,Fabrikam Inc,756,Home Office,2011-01-11,Standard Class,Kentucky,Phones,4,991,Shipped Early,6,null,755.96,27,null,37.8274,-87.5632
2011-01-08,Furniture,Huntsville,United States,Vivek Sundaresam,0.6,CA-2011-105417,77340,-54,3,Northwind Traders,77,Consumer,2011-01-13,Standard Class,Texas,Furnishings,5,101,Shipped Early,6,null,76.73,-70,null,30.6448,-95.5798
2011-01-10,Technology,Laredo,United States,Melanie Seite,0.2,CA-2011-135405,78041,10,3,Northwind Traders,31,Consumer,2011-01-14,Standard Class,Texas,Accessories,4,41,Shipped Early,6,null,31.2,31.3,null,27.5569,-99.4907
2011-01-11,Furniture,Springfield,United States,Anthony Jacobs,0,CA-2011-149020,22153,21,1,Fabrikam Inc,52,Corporate,2011-01-16,Standard Class,Virginia,Furnishings,5,68,Shipped Early,6,null,51.94,41,null,38.7449,-77.237
2011-01-12,Furniture,Dover,United States,Seth Vernon,0,CA-2011-130092,19901,3,2,A Datum Corporation,10,Consumer,2011-01-15,First Class,Delaware,Furnishings,3,13,Shipped Late,1,null,9.94,31,null,39.1564,-75.4955
2011-01-14,Furniture,Mount Pleasant,United States,Natalie DeCherney,0,CA-2011-109232,29464,87,6,Fabrikam Inc,546,Consumer,2011-01-17,Second Class,South Carolina,Chairs,3,715,Shipped On Time,3,null,545.94,16,null,32.8473,-79.8206
2011-01-14,Furniture,San Francisco,United States,Brian Dahlen,0.15,CA-2011-157147,94109,4,3,Alpine Ski House,334,Consumer,2011-01-19,Standard Class,California,Bookcases,5,438,Shipped Early,6,null,334,1.2,null,37.7917,-122.4186
2011-01-14,Technology,Bossier City,United States,Chris Selesnick,0,CA-2011-162775,71111,259,6,Fabrikam Inc,647,Corporate,2011-01-16,Second Class,Louisiana,Accessories,2,847,Shipped Early,3,null,646.74,40,null,32.5449,-93.7038
2011-01-15,Furniture,Philadelphia,United States,Brendan Sweed,0.5,CA-2011-149524,19140,-53,4,A Datum Corporation,62,Corporate,2011-01-16,First Class,Pennsylvania,Bookcases,1,81,Shipped On Time,1,null,61.96,-86,null,40.0118,-75.1456
2011-01-16,Technology,Roswell,United States,Erica Hackney,0,CA-2011-103366,30076,66,5,Fabrikam Inc,150,Consumer,2011-01-18,First Class,Georgia,Accessories,2,196,Shipped Late,1,null,149.95,44,null,34.0213,-84.3104
